"MTU (CET/CEST)","Generation - Solar  [MW] Day Ahead/ BZN|IE(SEM)","Generation - Solar  [MW] Intraday / BZN|IE(SEM)","Generation - Solar  [MW] Current / BZN|IE(SEM)","Generation - Wind Offshore  [MW] Day Ahead/ BZN|IE(SEM)","Generation - Wind Offshore  [MW] Intraday / BZN|IE(SEM)","Generation - Wind Offshore  [MW] Current / BZN|IE(SEM)","Generation - Wind Onshore  [MW] Day Ahead/ BZN|IE(SEM)","Generation - Wind Onshore  [MW] Intraday / BZN|IE(SEM)","Generation - Wind Onshore  [MW] Current / BZN|IE(SEM)"
"06.01.2023 11:00 - 06.01.2023 12:00","n/e","n/e","n/e","n/e","n/e","n/e","3187","n/e","n/e"
"06.01.2023 12:00 - 06.01.2023 13:00","n/e","n/e","n/e","n/e","n/e","n/e","3413","n/e","n/e"
"06.01.2023 13:00 - 06.01.2023 14:00","n/e","n/e","n/e","n/e","n/e","n/e","3639","n/e","n/e"
"06.01.2023 14:00 - 06.01.2023 15:00","n/e","n/e","n/e","n/e","n/e","n/e","3886","n/e","n/e"
"06.01.2023 15:00 - 06.01.2023 16:00","n/e","n/e","n/e","n/e","n/e","n/e","4109","n/e","n/e"
"06.01.2023 16:00 - 06.01.2023 17:00","n/e","n/e","n/e","n/e","n/e","n/e","4307","n/e","n/e"
"06.01.2023 17:00 - 06.01.2023 18:00","n/e","n/e","n/e","n/e","n/e","n/e","4471","n/e","n/e"
"06.01.2023 18:00 - 06.01.2023 19:00","n/e","n/e","n/e","n/e","n/e","n/e","4591","n/e","n/e"
"06.01.2023 19:00 - 06.01.2023 20:00","n/e","n/e","n/e","n/e","n/e","n/e","4546","n/e","n/e"
"06.01.2023 20:00 - 06.01.2023 21:00","n/e","n/e","n/e","n/e","n/e","n/e","4259","n/e","n/e"
"06.01.2023 21:00 - 06.01.2023 22:00","n/e","n/e","n/e","n/e","n/e","n/e","3854","n/e","n/e"
"06.01.2023 22:00 - 06.01.2023 23:00","n/e","n/e","n/e","n/e","n/e","n/e","3422","n/e","n/e"
"06.01.2023 23:00 - 07.01.2023 00:00","n/e","n/e","n/e","n/e","n/e","n/e","3117","n/e","n/e"
"07.01.2023 00:00 - 07.01.2023 01:00","n/e","n/e","n/e","n/e","n/e","n/e","2976","n/e","n/e"
"07.01.2023 01:00 - 07.01.2023 02:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"07.01.2023 02:00 - 07.01.2023 03:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"07.01.2023 03:00 - 07.01.2023 04:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"07.01.2023 04:00 - 07.01.2023 05:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"07.01.2023 05:00 - 07.01.2023 06:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"07.01.2023 06:00 - 07.01.2023 07:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"07.01.2023 07:00 - 07.01.2023 08:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"07.01.2023 08:00 - 07.01.2023 09:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"07.01.2023 09:00 - 07.01.2023 10:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"07.01.2023 10:00 - 07.01.2023 11:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"07.01.2023 11:00 - 07.01.2023 12:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"07.01.2023 12:00 - 07.01.2023 13:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"07.01.2023 13:00 - 07.01.2023 14:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"07.01.2023 14:00 - 07.01.2023 15:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"07.01.2023 15:00 - 07.01.2023 16:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"07.01.2023 16:00 - 07.01.2023 17:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"07.01.2023 17:00 - 07.01.2023 18:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"07.01.2023 18:00 - 07.01.2023 19:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"07.01.2023 19:00 - 07.01.2023 20:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"07.01.2023 20:00 - 07.01.2023 21:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"07.01.2023 21:00 - 07.01.2023 22:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"07.01.2023 22:00 - 07.01.2023 23:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"07.01.2023 23:00 - 08.01.2023 00:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"08.01.2023 00:00 - 08.01.2023 01:00","n/e","n/e","n/e","n/e","n/e","n/e","N/A","n/e","n/e"
"08.01.2023 01:00 - 08.01.2023 02:00","n/e","n/e","n/e","n/e","n/e","n/e","4373","n/e","n/e"
"08.01.2023 02:00 - 08.01.2023 03:00","n/e","n/e","n/e","n/e","n/e","n/e","4134","n/e","n/e"
"08.01.2023 03:00 - 08.01.2023 04:00","n/e","n/e","n/e","n/e","n/e","n/e","4052","n/e","n/e"
"08.01.2023 04:00 - 08.01.2023 05:00","n/e","n/e","n/e","n/e","n/e","n/e","4088","n/e","n/e"
"08.01.2023 05:00 - 08.01.2023 06:00","n/e","n/e","n/e","n/e","n/e","n/e","4100","n/e","n/e"
